"ANNO","TRIMESTRE","MES_DEL_TRIMESTRE","ID_EMPRESA","DESC_EMPRESA","INGRESOS_TOTALES","INGRESOS_POSPAGO","INGRESOS_PREPAGO","CONSUMO_PREPAGO_ON","CONSUMO_PREPAGO_OFF"
"2022","4","3","900389508","ALMACENES EXITO INVERSIONES S.A.S.","857287450","0","253656680","603630770","857287450"
"2022","4","2","900389508","ALMACENES EXITO INVERSIONES S.A.S.","762940042","0","220183994","542756048","762940042"
"2022","4","1","900389508","ALMACENES EXITO INVERSIONES S.A.S.","791646726","0","226325053","565321673","791646726"
"2022","3","3","900389508","ALMACENES EXITO INVERSIONES S.A.S.","669732128","0","193937991","475794137","669732128"
"2022","3","2","900389508","ALMACENES EXITO INVERSIONES S.A.S.","694346257","0","199643628","494702629","694346257"
"2022","3","1","900389508","ALMACENES EXITO INVERSIONES S.A.S.","664624548","0","190356895","474267653","664624548"
"2022","2","3","900389508","ALMACENES EXITO INVERSIONES S.A.S.","671356625","0","191034308","480322317","671356625"
"2022","2","2","900389508","ALMACENES EXITO INVERSIONES S.A.S.","693858327","0","193602300","500256027","693858327"
"2022","2","1","900389508","ALMACENES EXITO INVERSIONES S.A.S.","623630402","0","175354472","448275930","623630402"
"2022","1","3","900389508","ALMACENES EXITO INVERSIONES S.A.S.","651037007","0","176798580","474238427","651037007"
"2022","1","2","900389508","ALMACENES EXITO INVERSIONES S.A.S.","571590623","0","150373317","421217306","571590623"
"2022","1","1","900389508","ALMACENES EXITO INVERSIONES S.A.S.","600801404","0","158717405","442083999","600801404"
